#     Step             Time      Temperature                E_kin                     E_pot             Pressure
         0         0.000000        1708.9101        1766.92819400      -36749.88645565        9539.52246511
         1         0.100042        1707.6122        1765.58632310      -36749.85773117        9531.32275904
         2         0.200126        1706.2009        1764.12707392      -36749.70521835        9524.59925132
         3         0.300252        1704.6778        1762.55229374      -36749.43461689        9518.92987894
         4         0.400424        1703.0357        1760.85443859      -36749.05211918        9513.99078548
         5         0.500647        1701.2642        1759.02278596      -36748.56423684        9510.07773312
         6         0.600925        1699.3885        1757.08335670      -36747.98303892        9507.55254468
         7         0.701263        1697.4457        1755.07460241      -36747.33277471        9506.43205942
         8         0.801663        1695.5095        1753.07264891      -36746.63967062        9506.97723125
         9         0.902130        1693.5504        1751.04709956      -36745.92980342        9508.13165611
        10         1.002662        1691.5976        1749.02801661      -36745.23281569        9509.26396677
        11         1.103262        1689.6985        1747.06441295      -36744.58414060        9509.38236858
        12         1.203930        1687.8481        1745.15115622      -36744.02234878        9506.99177988
        13         1.304662        1686.1269        1743.37152594      -36743.58102000        9501.65458002
        14         1.405456        1684.5664        1741.75808994      -36743.28511617        9492.87990195
        15         1.506309        1683.1595        1740.30340081      -36743.14815083        9480.87913958
        16         1.607215        1681.9159        1739.01757025      -36743.16858617        9467.00333794
        17         1.708167        1680.7980        1737.86177473      -36743.31739844        9451.86579581
        18         1.809160        1679.7359        1736.76357566      -36743.52223702        9436.65991503
        19         1.910189        1678.6384        1735.62875527      -36743.70017858        9421.26810567
        20         2.011256        1677.4583        1734.40866755      -36743.79840860        9404.91344255
        21         2.112362        1676.2180        1733.12626259      -36743.82135765        9385.83919332
        22         2.213507        1674.9282        1731.79268848      -36743.81417424        9365.20405290
        23         2.314694        1673.6042        1730.42374158      -36743.80689729        9344.10529416
        24         2.415925        1672.2906        1729.06551154      -36743.77874438        9324.21757847
        25         2.517200        1670.9311        1727.65981886      -36743.69377124        9306.93760511
        26         2.618519        1669.4802        1726.15966455      -36743.53854570        9292.55690017
        27         2.719886        1667.9599        1724.58775633      -36743.32612497        9281.51636731
        28         2.821302        1666.4090        1722.98417902      -36743.06986741        9274.21360617
        29         2.922770        1664.8373        1721.35916487      -36742.76755925        9270.73409038
        30         3.024292        1663.1779        1719.64341036      -36742.40642139        9270.43789315
