           3             3             3
 i j k T_e S_e rho_e C_e K_e flag T_dyn_flag
          30
     1     1     1 0.301303E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     1 0.301318E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     1 0.303880E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     1 0.303972E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     1 0.308654E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     1 0.315409E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     1 0.301286E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     1 0.302320E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     1 0.303972E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     1     2 0.304401E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     2 0.308104E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     2 0.315740E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     2 0.318993E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     2 0.358633E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     2 0.444126E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     2 0.304867E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     2 0.309086E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     2 0.315786E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     1     3 0.300916E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     1     3 0.301505E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     1     3 0.304277E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     2     3 0.304291E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     2     3 0.308757E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     2     3 0.316215E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     1     3     3 0.301280E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     2     3     3 0.301871E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
     3     3     3 0.303993E+03 0.000000E+00 0.100000E+01 0.350000E-06 0.124800E+00 0 0
